# Card #1909 web bundle baseline. Raw bytes; bundle = wasm + app.js + DOM runtime. Workloads differ from other languages; size guard, not beat claim.
version	workload	source	source_sha256	wasm_bytes	glue_bytes	runtime_bytes	bundle_bytes	regression_pct
1	hello	tools/perf/web/hello.jet	d4a0b44546bbeb9bf82e855772e185ab361ca282d4e916873a3ce55cd36f3fa6	611047	82325	35834	729206	10
1	counter	tools/perf/web/counter.jet	de0998e2858b4993c30f69ceb2fb3be6421221f6784f09cde418d3ce80356c10	680456	82347	35834	798637	10
1	todo	tools/perf/web/todo.jet	2d95bdb80ead8441ffe1a7074825e17f66fe5734a6c748c1f8d578b31c8fc982	611211	82350	35834	729395	10
