id	decision_id	scope	lifecycle	form_kind	symbol	surface	examples	source_evidence	parser_status	parser_evidence	formatter_emission_status	formatter_emission_evidence	formatter_roundtrip_status	formatter_roundtrip_evidence	linter_recognition_status	linter_recognition_evidence	linter_teaching_status	linter_teaching_evidence	language_server_status	language_server_evidence	canvas_status	canvas_evidence
syntax-d-acro-case1-surface-http-06b67da5	D-ACRO-CASE1	user	current	type_or_name		HTTP		crates/jet-foundation/src/Syntax/acronyms.rs:87	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	covered	tests/fmt.rs:3901;tests/fmt.rs:3902	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui_lint/message_text.warn:1;tests/ui_lint/message_text.warn:10;tests/ui_lint/message_text.warn:19;tests/ui/http_message_literal_migration.stderr:1;tests/ui/http_message_literal_migration.stderr:6;tests/ui/http_message_literal_migration.stderr:10	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-acro-case1-surface-httpheader-f5edaf20	D-ACRO-CASE1	user	current	type_or_name		HTTPHeader		crates/jet-foundation/src/Syntax/acronyms.rs:87	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-acro-lex1-surface-decision-crates-jet-foundation-src-syntax-acrony-344a0429	D-ACRO-LEX1	user	current	decision_row				crates/jet-foundation/src/Syntax/acronyms.rs:1	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.
syntax-d-acro-lex1-surface-decision-crates-jet-foundation-src-syntax-highli-da27d12a	D-ACRO-LEX1	user	current	decision_row				crates/jet-foundation/src/Syntax/highlights.rs:605	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.
syntax-d-acro-lex1-symbol-acronym-respills-66532dfd	D-ACRO-LEX1	internal	current	internal	ACRONYM_RESPILLS			crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14	not_applicable	crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14	not_applicable	crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14	not_applicable	crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14	not_applicable	crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14	not_applicable	crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14	not_applicable	crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14	not_applicable	crates/jet-foundation/src/Syntax/acronyms.rs:12;crates/jet-foundation/src/Syntax/acronyms.rs:14
syntax-d-adopt-guest1-surface-import-module-919eaa65	D-ADOPT-GUEST1	user	current	marker_or_sigil		#Import module		crates/jet-foundation/src/Syntax/math_layout.rs:620	covered	crates/jet-parser/src/Formatter/Items.rs:789;crates/jet-parser/src/Parser/Items/marker_groups.rs:1552;crates/jet-parser/src/Parser/Items/reactive_unsafe_c.rs:330;crates/jet-parser/src/Parser/Items/reactive_unsafe_c.rs:331;crates/jet-parser/src/Parser/Items/reactive_unsafe_c.rs:419;crates/jet-parser/src/Parser/mod.rs:1815	covered	crates/jet-parser/src/Formatter/Items.rs:789	covered	crates/jet-parser/src/Parser/mod.rs:1815;crates/jet-parser/src/Parser/mod.rs:1830;crates/jet-parser/src/Parser/mod.rs:1866;tests/fmt.rs:4063;tests/fmt.rs:4064	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui/cffi_e3206_reserved_segment.stderr:4;tests/ui/ffi_bind_missing.stderr:3;tests/ui/generated_cffi_e3206.stderr:4;tests/ui/generated_cffi_e3206.stderr:6;tests/ui/generated_cffi_e3206.stderr:7;tests/ui/generated_cffi_e3207.stderr:6	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-adopt-guest1-surface-import-c-d8df7d41	D-ADOPT-GUEST1	user	current	marker_or_sigil		#Import(c)		crates/jet-foundation/src/Syntax/math_layout.rs:620	covered	crates/jet-parser/src/Parser/Items/functions_params.rs:590;crates/jet-parser/src/Parser/Items/functions_params.rs:591;crates/jet-parser/src/Parser/Items/functions_params.rs:593;crates/jet-parser/src/Parser/Items/reactive_unsafe_c.rs:42;crates/jet-parser/src/Parser/Items/reactive_unsafe_c.rs:45	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-adopt-guest1-symbol-marker-import-import-68174b8c	D-ADOPT-GUEST1	user	current	marker	MARKER_IMPORT	Import	#Export(c) | #Import(c)	crates/jet-foundation/src/Syntax.rs:385;crates/jet-foundation/src/Syntax.rs:388;crates/jet-foundation/src/Syntax.rs:388	covered	crates/jet-parser/src/Formatter/Items.rs:105;crates/jet-parser/src/Formatter/Items.rs:112;crates/jet-parser/src/Formatter/Items.rs:119;crates/jet-parser/src/Formatter/Items.rs:668;crates/jet-parser/src/Formatter/Items.rs:678;crates/jet-parser/src/Formatter/Items.rs:789	covered	crates/jet-parser/src/Formatter/Items.rs:105;crates/jet-parser/src/Formatter/Items.rs:112;crates/jet-parser/src/Formatter/Items.rs:119;crates/jet-parser/src/Formatter/Items.rs:668;crates/jet-parser/src/Formatter/Items.rs:678;crates/jet-parser/src/Formatter/Items.rs:789	covered	crates/jet-parser/src/Parser/mod.rs:1815;crates/jet-parser/src/Parser/mod.rs:1830;crates/jet-parser/src/Parser/mod.rs:1866;tests/fmt.rs:4063;tests/fmt.rs:4064	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-parser/src/Parser/Items/reactive_unsafe_c.rs:294;crates/jet-parser/src/Parser/Items/reactive_unsafe_c.rs:347;tests/ui_lint/arena_heap_loop.warn:10;tests/ui_lint/liveness_unused_import.warn:10;tests/ui_lint/qualified_alias_import_liveness.warn:1;tests/ui_lint/qualified_alias_import_liveness.warn:10	covered	Source/LSP/Features.rs:1264;Source/LSP/Server.rs:3330;Source/LSP/Server.rs:3371	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-alias-op1-surface-none-980630f5	D-ALIAS-OP1	user	retired	syntax_shape		::		crates/jet-foundation/src/Syntax.rs:153	covered	crates/jet-parser/src/FencedNames.rs:10;crates/jet-parser/src/FencedNames.rs:16;crates/jet-parser/src/FencedNames.rs:17	covered	crates/jet-parser/src/Formatter/Expressions.rs:1;crates/jet-parser/src/Formatter/Expressions.rs:2;crates/jet-parser/src/Formatter/Expressions.rs:23;crates/jet-parser/src/Formatter/Expressions.rs:24;crates/jet-parser/src/Formatter/Expressions.rs:35	covered	tests/fmt.rs:5;tests/fmt.rs:6;tests/fmt.rs:17	covered	crates/jet-parser/src/Parser/Items/marker_groups.rs:368;crates/jet-parser/src/Parser/mod.rs:607;crates/jet-sema/src/Sema/Bundle.rs:2498;crates/jet-sema/src/Sema/Bundle.rs:2515;crates/jet-sema/src/Sema/Bundle/Validation.rs:325	covered	crates/jet-parser/src/FencedNames.rs:16;crates/jet-parser/src/FencedNames.rs:413;crates/jet-parser/src/FencedNames.rs:488;crates/jet-parser/src/FencedNames.rs:691;crates/jet-parser/src/FencedNames.rs:778	covered	Source/LSP/Adapter.rs:9;Source/LSP/Adapter.rs:16;Source/LSP/Adapter.rs:17	covered	crates/jet-devserver/src/Canvas/debug_source_git.rs:1;crates/jet-devserver/src/Canvas/debug_source_git.rs:2;crates/jet-devserver/src/Canvas/debug_source_git.rs:3;crates/jet-devserver/src/Canvas/debug_source_git.rs:4
syntax-d-alias-op1-surface-none-380cad68	D-ALIAS-OP1	user	retired	syntax_shape		=		crates/jet-foundation/src/Syntax.rs:153	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
