id	decision_id	scope	lifecycle	form_kind	symbol	surface	examples	source_evidence	parser_status	parser_evidence	formatter_emission_status	formatter_emission_evidence	formatter_roundtrip_status	formatter_roundtrip_evidence	linter_recognition_status	linter_recognition_evidence	linter_teaching_status	linter_teaching_evidence	language_server_status	language_server_evidence	canvas_status	canvas_evidence
syntax-d-dist1-surface-decision-crates-jet-foundation-src-syntax-packag-0895b645	D-DIST1	user	current	decision_row				crates/jet-foundation/src/Syntax/package_files.rs:478	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.
syntax-d-dist1-symbol-kw-distinct-distinct-0e918102	D-DIST1	user	current	keyword_or_name	KW_DISTINCT	distinct	:: | UserId :: distinct Int | distinct	crates/jet-foundation/src/Syntax/package_files.rs:100;crates/jet-foundation/src/Syntax/package_files.rs:104;crates/jet-foundation/src/Syntax/package_files.rs:104	covered	crates/jet-parser/src/Formatter/Items.rs:1134;crates/jet-parser/src/Formatter/mod.rs:274;crates/jet-parser/src/Formatter/mod.rs:275;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:12;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:54;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:163	covered	crates/jet-parser/src/Formatter/Items.rs:1134;crates/jet-parser/src/Formatter/mod.rs:274;crates/jet-parser/src/Formatter/mod.rs:275	covered	tests/fmt.rs:5;tests/fmt.rs:6;tests/fmt.rs:17	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui_lint/a11y_duplicate_label.warn:7;tests/ui/cffi_callback_nullable.stderr:6;tests/ui/cli_authority_flags_reserved.stderr:6;tests/ui/cli_authority_flags_reserved.stderr:13;tests/ui/cli_flag_name_collision.stderr:6;tests/ui/distinct_arith_on_id.stderr:6	covered	editors/jet.tmGrammar:92;Source/LSP/Features.rs:720;Source/LSP/mod.rs:530;Source/LSP/mod.rs:804;Source/LSP/mod.rs:832;Source/LSP/mod.rs:916	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dist1-symbol-marker-unit-family-unitfamily-c46089d5	D-DIST1	user	current	marker	MARKER_UNIT_FAMILY	UnitFamily		crates/jet-foundation/src/Syntax/package_files.rs:178;crates/jet-foundation/src/Syntax/package_files.rs:179;crates/jet-foundation/src/Syntax/package_files.rs:179	covered	crates/jet-parser/src/Formatter/Items.rs:417;crates/jet-parser/src/Formatter/mod.rs:1226;crates/jet-parser/src/Formatter/mod.rs:1303;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:334;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:349;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:384	covered	crates/jet-parser/src/Formatter/Items.rs:417;crates/jet-parser/src/Formatter/mod.rs:1226;crates/jet-parser/src/Formatter/mod.rs:1303	covered	crates/jet-parser/src/Parser/mod.rs:1646;crates/jet-parser/src/Parser/mod.rs:1651;crates/jet-parser/src/Parser/mod.rs:1661	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui/quantity_unknown_dimension.stderr:4;tests/ui/schedule_bad_duration_unit.stderr:6;tests/ui/unit_family_derived_requires_base.stderr:4;tests/ui/unit_family_missing_base.stderr:4;tests/ui/unit_family_unknown_header_field.stderr:1	covered	editors/jet.tmGrammar:120;editors/tree-sitter/grammar.js:23;editors/vscode/syntaxes/jet.tmLanguage.json:120;editors/zed/grammar-repo/grammar.js:23;Source/LSP/mod.rs:532;Source/LSP/mod.rs:917	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dist2-surface-decision-crates-jet-foundation-src-syntax-packag-c2e6d4e7	D-DIST2	user	current	decision_row				crates/jet-foundation/src/Syntax/package_files.rs:177	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.
syntax-d-dist3-surface-decision-crates-jet-foundation-src-syntax-packag-43dad407	D-DIST3	user	current	decision_row				crates/jet-foundation/src/Syntax/package_files.rs:106	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.	missing	MISSING:The decision row has no concrete source spelling; coverage cannot be inferred.
syntax-d-dist3-surface-numeric-a4883912	D-DIST3	user	current	marker_or_sigil		@numeric		crates/jet-foundation/src/Syntax/package_files.rs:167	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dist3-surface-numeric-f08cecfd	D-DIST3	user	current	marker_or_sigil		#Numeric		crates/jet-foundation/src/Syntax/package_files.rs:162;crates/jet-foundation/src/Syntax/package_files.rs:167	covered	crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:141	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui/distinct_arith_on_id.stderr:6;tests/ui/distinct_arith_on_id.stderr:7;tests/ui/unit_family_mix.stderr:6	covered	Source/LSP/mod.rs:916	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dist3-symbol-marker-unit-family-unitfamily-c46089d5	D-DIST3	user	current	marker	MARKER_UNIT_FAMILY	UnitFamily		crates/jet-foundation/src/Syntax/package_files.rs:178;crates/jet-foundation/src/Syntax/package_files.rs:179;crates/jet-foundation/src/Syntax/package_files.rs:179	covered	crates/jet-parser/src/Formatter/Items.rs:417;crates/jet-parser/src/Formatter/mod.rs:1226;crates/jet-parser/src/Formatter/mod.rs:1303;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:334;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:349;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:384	covered	crates/jet-parser/src/Formatter/Items.rs:417;crates/jet-parser/src/Formatter/mod.rs:1226;crates/jet-parser/src/Formatter/mod.rs:1303	covered	crates/jet-parser/src/Parser/mod.rs:1646;crates/jet-parser/src/Parser/mod.rs:1651;crates/jet-parser/src/Parser/mod.rs:1661	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui/quantity_unknown_dimension.stderr:4;tests/ui/schedule_bad_duration_unit.stderr:6;tests/ui/unit_family_derived_requires_base.stderr:4;tests/ui/unit_family_missing_base.stderr:4;tests/ui/unit_family_unknown_header_field.stderr:1	covered	editors/jet.tmGrammar:120;editors/tree-sitter/grammar.js:23;editors/vscode/syntaxes/jet.tmLanguage.json:120;editors/zed/grammar-repo/grammar.js:23;Source/LSP/mod.rs:532;Source/LSP/mod.rs:917	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor1-surface-none-a3d4a70d	D-DOTCTOR1	user	current	syntax_shape		..		crates/jet-foundation/src/Syntax/predicates.rs:42	covered	crates/jet-parser/src/FencedNames.rs:57;crates/jet-parser/src/FencedNames.rs:103;crates/jet-parser/src/FencedNames.rs:109;crates/jet-parser/src/FencedNames.rs:167;crates/jet-parser/src/FencedNames.rs:252;crates/jet-parser/src/FencedNames.rs:285	covered	crates/jet-parser/src/Formatter/Expressions.rs:41;crates/jet-parser/src/Formatter/Expressions.rs:56;crates/jet-parser/src/Formatter/Expressions.rs:91;crates/jet-parser/src/Formatter/Expressions.rs:98;crates/jet-parser/src/Formatter/Expressions.rs:99;crates/jet-parser/src/Formatter/Expressions.rs:109	covered	tests/fmt.rs:392;tests/fmt.rs:393;tests/fmt.rs:395;tests/fmt.rs:396;tests/fmt.rs:1352;tests/fmt.rs:1354	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-parser/src/Parser/Expressions/lambdas.rs:142;crates/jet-sema/src/Sema/Bundle/Pipeline/Completion.rs:343;crates/jet-sema/src/Sema/Bundle/Pipeline/Completion.rs:354;crates/jet-sema/src/Sema/Bundle/Pipeline/Completion.rs:528;crates/jet-sema/src/Sema/Bundle/Pipeline/Completion.rs:870;crates/jet-sema/src/Sema/Bundle/Validation.rs:1522	covered	Source/LSP/Adapter.rs:147;Source/LSP/Adapter.rs:148;Source/LSP/Adapter.rs:149;Source/LSP/Adapter.rs:150;Source/LSP/Adapter.rs:151;Source/LSP/Check.rs:283	covered	crates/jet-devserver/src/Canvas/debug_source_git.rs:981;crates/jet-devserver/src/Canvas/debug_source_git.rs:1037;crates/jet-devserver/src/Canvas/debug_source_git.rs:1045;crates/jet-devserver/src/Canvas/debug_source_git.rs:1075;crates/jet-devserver/src/Canvas/debug_source_git.rs:1089;crates/jet-devserver/src/Canvas/debug_source_git.rs:1093
syntax-d-dotctor1-surface-none-4ed4213e	D-DOTCTOR1	user	current	marker_or_sigil		.{		crates/jet-foundation/src/Syntax/predicates.rs:42	covered	crates/jet-parser/src/FencedNames.rs:1012;crates/jet-parser/src/Formatter/Expressions.rs:20;crates/jet-parser/src/Formatter/Expressions.rs:2063;crates/jet-parser/src/Formatter/Expressions.rs:2065;crates/jet-parser/src/Formatter/Expressions.rs:2762;crates/jet-parser/src/Formatter/Items.rs:834	covered	crates/jet-parser/src/Formatter/Expressions.rs:20;crates/jet-parser/src/Formatter/Expressions.rs:2063;crates/jet-parser/src/Formatter/Expressions.rs:2065;crates/jet-parser/src/Formatter/Expressions.rs:2762;crates/jet-parser/src/Formatter/Items.rs:834;crates/jet-parser/src/Formatter/Items.rs:2123	covered	tests/fmt.rs:55;tests/fmt.rs:61;tests/fmt.rs:1001;tests/fmt.rs:1006;tests/fmt.rs:1026;tests/fmt.rs:1030	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-parser/src/Parser/Items/imports_policy.rs:540;crates/jet-parser/src/Parser/Statements/control.rs:1052;crates/jet-sema/src/Sema/CheckerCoreLib/plugin_checks.rs:137;crates/jet-sema/src/Sema/CheckerCoreLib/serde_diags.rs:99;crates/jet-sema/src/Sema/CheckerInfer/calls/method_calls.rs:7224;tests/ui_lint/layout_redundant_constraint.warn:1	covered	Source/LSP/Completion.rs:345;Source/LSP/Completion.rs:510;Source/LSP/Completion.rs:517;Source/LSP/Completion.rs:763;Source/LSP/Completion.rs:780;Source/LSP/Features.rs:187	covered	crates/jet-devserver/src/Canvas/edit_actions.rs:582;crates/jet-devserver/src/Canvas/edit_actions.rs:614;crates/jet-devserver/src/Canvas/edit_actions.rs:616;crates/jet-devserver/src/Canvas/edit_actions.rs:618;crates/jet-devserver/src/Canvas/edit_actions.rs:1055
syntax-d-dotctor3-surface-string-int-32cb52a7	D-DOTCTOR3	user	current	syntax_shape		[String:Int]{}		crates/jet-foundation/src/Syntax/package_files.rs:76	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-t-edb3f65f	D-DOTCTOR3	user	current	syntax_shape		[T]{ … }		crates/jet-foundation/src/Syntax/math_layout.rs:149	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-u8-1-2-6283137d	D-DOTCTOR3	user	current	syntax_shape		[U8]{ 1, 2 }		crates/jet-foundation/src/Syntax/package_files.rs:76	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-u8-3-61316ef8	D-DOTCTOR3	user	current	syntax_shape		[U8#3]{ … }		crates/jet-foundation/src/Syntax/package_files.rs:76	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-none-94f721b2	D-DOTCTOR3	user	current	syntax_shape		<=		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/FencedNames.rs:511;crates/jet-parser/src/FencedNames.rs:517;crates/jet-parser/src/FencedNames.rs:740;crates/jet-parser/src/FencedNames.rs:745;crates/jet-parser/src/Formatter/Expressions.rs:352;crates/jet-parser/src/Formatter/Expressions.rs:427	covered	crates/jet-parser/src/Formatter/Expressions.rs:352;crates/jet-parser/src/Formatter/Expressions.rs:427;crates/jet-parser/src/Formatter/Expressions.rs:484;crates/jet-parser/src/Formatter/Expressions.rs:1376;crates/jet-parser/src/Formatter/Items.rs:205;crates/jet-parser/src/Formatter/Items.rs:1456	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-parser/src/lib.rs:467;crates/jet-sema/src/Sema/mod.rs:2164;tests/ui/chained_comparison_mixed_direction.stderr:6;tests/ui/layout_not_a_constraint.stderr:6;tests/ui/range_arm_step.stderr:7;tests/ui/runtime_rng_backward.stderr:1	covered	Source/LSP/Adapter.rs:265;Source/LSP/Features.rs:116;Source/LSP/Features.rs:117;Source/LSP/Features.rs:142;Source/LSP/Features.rs:143;Source/LSP/Features.rs:259	covered	crates/jet-devserver/src/Canvas/debug_source_git.rs:974;crates/jet-devserver/src/Canvas/debug_source_git.rs:1136;crates/jet-devserver/src/Canvas/debug_source_git.rs:1152;crates/jet-devserver/src/Canvas/edit_actions.rs:640;crates/jet-devserver/src/Canvas/edit_actions.rs:1700
syntax-d-dotctor3-surface-none-90f4dccf	D-DOTCTOR3	user	current	syntax_shape		==		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/FencedNames.rs:156;crates/jet-parser/src/FencedNames.rs:157;crates/jet-parser/src/FencedNames.rs:158;crates/jet-parser/src/FencedNames.rs:161;crates/jet-parser/src/FencedNames.rs:162;crates/jet-parser/src/FencedNames.rs:163	covered	crates/jet-parser/src/Formatter/Expressions.rs:23;crates/jet-parser/src/Formatter/Expressions.rs:27;crates/jet-parser/src/Formatter/Expressions.rs:201;crates/jet-parser/src/Formatter/Expressions.rs:215;crates/jet-parser/src/Formatter/Expressions.rs:466	covered	tests/fmt.rs:241;tests/fmt.rs:245;tests/fmt.rs:246;tests/fmt.rs:250;tests/fmt.rs:303;tests/fmt.rs:304	covered	crates/jet-foundation/src/LintPolicy.rs:54	covered	crates/jet-parser/src/FencedNames.rs:864;crates/jet-parser/src/FencedNames.rs:1022;crates/jet-parser/src/FencedNames.rs:1041;crates/jet-parser/src/FencedNames.rs:1056;crates/jet-parser/src/lib.rs:62;crates/jet-parser/src/lib.rs:78	covered	Source/LSP/Adapter.rs:21;Source/LSP/Check.rs:76;Source/LSP/Check.rs:216;Source/LSP/Completion.rs:116;Source/LSP/Completion.rs:119;Source/LSP/Completion.rs:126	covered	crates/jet-devserver/src/Canvas/debug_source_git.rs:254;crates/jet-devserver/src/Canvas/debug_source_git.rs:261;crates/jet-devserver/src/Canvas/debug_source_git.rs:353;crates/jet-devserver/src/Canvas/debug_source_git.rs:372;crates/jet-devserver/src/Canvas/debug_source_git.rs:475;crates/jet-devserver/src/Canvas/debug_source_git.rs:482
syntax-d-dotctor3-surface-none-10fc6214	D-DOTCTOR3	user	current	syntax_shape		>=		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/Formatter/Expressions.rs:175;crates/jet-parser/src/Formatter/Expressions.rs:186;crates/jet-parser/src/Formatter/Expressions.rs:214;crates/jet-parser/src/Formatter/Expressions.rs:240;crates/jet-parser/src/Formatter/Expressions.rs:486;crates/jet-parser/src/Formatter/Expressions.rs:659	covered	crates/jet-parser/src/Formatter/Expressions.rs:175;crates/jet-parser/src/Formatter/Expressions.rs:186;crates/jet-parser/src/Formatter/Expressions.rs:214;crates/jet-parser/src/Formatter/Expressions.rs:240;crates/jet-parser/src/Formatter/Expressions.rs:486;crates/jet-parser/src/Formatter/Expressions.rs:659	covered	tests/fmt.rs:697;tests/fmt.rs:703;tests/fmt.rs:1384;tests/fmt.rs:1385	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-foundation/src/CompilerStack.rs:82;crates/jet-foundation/src/Registry.rs:2124;tests/ui_lint/layout_redundant_constraint.warn:4;tests/ui/comptime_fuel.stderr:4;tests/ui/layout_axis_mismatch.stderr:4;tests/ui/layout_not_a_constraint.stderr:6	covered	Source/LSP/Adapter.rs:328;Source/LSP/Adapter.rs:341;Source/LSP/Completion.rs:778;Source/LSP/Features.rs:774;Source/LSP/Features.rs:2191;Source/LSP/mod.rs:573	covered	crates/jet-devserver/src/Canvas/debug_source_git.rs:209;crates/jet-devserver/src/Canvas/debug_source_git.rs:726;crates/jet-devserver/src/Canvas/debug_source_git.rs:734;crates/jet-devserver/src/Canvas/debug_source_git.rs:1061;crates/jet-devserver/src/Canvas/debug_source_git.rs:1106;crates/jet-devserver/src/Canvas/debug_source_git.rs:1218
syntax-d-dotctor3-surface-bottom-4ea76b2a	D-DOTCTOR3	user	current	keyword_or_name		bottom		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/Parser/Statements/bindings.rs:730	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	covered	crates/jet-canvas/src/html.rs:45;crates/jet-canvas/src/html.rs:86;crates/jet-canvas/src/html.rs:132;crates/jet-canvas/src/html.rs:134;crates/jet-canvas/src/html.rs:206;crates/jet-devserver/src/Canvas/graph_json.rs:807
syntax-d-dotctor3-surface-box-anchor-ae4e3f55	D-DOTCTOR3	user	current	syntax_shape		box.anchor		crates/jet-foundation/src/Syntax/math_layout.rs:149	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-constraint-a51ab17a	D-DOTCTOR3	user	current	type_or_name		Constraint		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/Parser/Statements/control.rs:719	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui/layout_keyword_retired.stderr:6;tests/ui/layout_not_a_constraint.stderr:6	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-height-d5bdbb42	D-DOTCTOR3	user	current	keyword_or_name		height		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/Parser/Statements/bindings.rs:730	missing	MISSING:A formatter source line directly names this symbol or spelling.	covered	tests/fmt.rs:441;tests/fmt.rs:442	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui/enum_named_payload_needs_dot_brace.stderr:19;tests/ui/enum_named_payload_needs_dot_brace.stderr:25;tests/ui/label_unknown.stderr:7;tests/ui/layout_axis_mismatch.stderr:4	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	covered	crates/jet-devserver/src/Canvas/preview.rs:127;crates/jet-devserver/src/Canvas/preview.rs:135;crates/jet-devserver/src/Canvas/preview.rs:141;crates/jet-devserver/src/Canvas/preview.rs:152;crates/jet-devserver/src/Canvas/preview.rs:161;crates/jet-devserver/src/Canvas/preview.rs:170
syntax-d-dotctor3-surface-int-fetch-rows-2c94298d	D-DOTCTOR3	user	current	syntax_shape		Int{ fetch_rows() }		crates/jet-foundation/src/Syntax/package_files.rs:76	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	missing	MISSING:A formatter fixture calls the formatter and checks a stable second pass while naming this form.	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-layout-f788421f	D-DOTCTOR3	user	current	type_or_name		Layout		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/Formatter/mod.rs:1370;crates/jet-parser/src/Formatter/mod.rs:2064;crates/jet-parser/src/Formatter/Statements.rs:719;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:784;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:808;crates/jet-parser/src/Parser/Items/distinct_units_structs.rs:810	covered	crates/jet-parser/src/Formatter/mod.rs:1370;crates/jet-parser/src/Formatter/mod.rs:2064;crates/jet-parser/src/Formatter/Statements.rs:719	covered	tests/fmt.rs:263;tests/fmt.rs:264;tests/fmt.rs:265;tests/fmt.rs:274;tests/fmt.rs:275	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	tests/ui_lint/layout_redundant_constraint.warn:1;tests/ui/layout_c_growable_field.stderr:1;tests/ui/layout_c_growable_field.stderr:4;tests/ui/layout_c_growable_field.stderr:7;tests/ui/layout_c_growable_field.stderr:10;tests/ui/layout_c_growable_field.stderr:13	covered	editors/jet.tmGrammar:120;editors/tree-sitter/grammar.js:23;editors/vscode/syntaxes/jet.tmLanguage.json:120;editors/zed/grammar-repo/grammar.js:23;editors/zed/grammars/jet/grammar.js:23;editors/zed/languages/jet/highlights.scm:141	covered	crates/jet-devserver/src/Canvas/edit_actions.rs:2259;crates/jet-devserver/src/Canvas/edit_actions.rs:2487;crates/jet-devserver/src/Canvas/edit_actions.rs:2988;crates/jet-devserver/src/Canvas/edit_actions.rs:3271;crates/jet-devserver/src/Canvas/edit_actions.rs:3377;crates/jet-devserver/src/Canvas/edit_actions.rs:3468
syntax-d-dotctor3-symbol-layout-hvar-type-hvar-5512de51	D-DOTCTOR3	user	retired	type_or_name	LAYOUT_HVAR_TYPE	HVar	.medium() | .required() | .strong() | .weak() | Constraint | Constraint.gte | Layout.h | LayoutHandle | add | name :: Layout{ … } | suggest | v | value	crates/jet-foundation/src/Syntax/math_layout.rs:134;crates/jet-foundation/src/Syntax/math_layout.rs:139;crates/jet-foundation/src/Syntax/math_layout.rs:139	missing	MISSING:A parser or lexer source line directly names this symbol or spelling.	missing	MISSING:A formatter source line directly names this symbol or spelling.	covered	tests/fmt.rs:86;tests/fmt.rs:88;tests/fmt.rs:108;tests/fmt.rs:112	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	missing	MISSING:A diagnostic teaching path or diagnostic fixture directly names this symbol or spelling.	missing	MISSING:An LSP or editor projection source line directly names this symbol or spelling.	missing	MISSING:A Canvas projection source line directly names this symbol or spelling.
syntax-d-dotctor3-surface-left-124aec70	D-DOTCTOR3	user	current	keyword_or_name		left		crates/jet-foundation/src/Syntax/math_layout.rs:149	covered	crates/jet-parser/src/FencedNames.rs:83;crates/jet-parser/src/FencedNames.rs:84;crates/jet-parser/src/FencedNames.rs:85;crates/jet-parser/src/Formatter/mod.rs:2442	covered	crates/jet-parser/src/Formatter/mod.rs:2442;crates/jet-parser/src/Formatter/Statements.rs:1277	covered	tests/fmt.rs:247;tests/fmt.rs:250;tests/fmt.rs:1352;tests/fmt.rs:1359	missing	MISSING:A linter policy or recognition source line directly names this symbol or spelling.	covered	crates/jet-sema/src/Sema/BudgetSpecs.rs:419;tests/ui_lint/prefer_compound_assign.warn:1;tests/ui_lint/prefer_compound_assign.warn:10;tests/ui_lint/prefer_compound_assign.warn:19;tests/ui_lint/prefer_compound_assign.warn:28;tests/ui/crypto_secret_local_operations.stderr:4	covered	Source/LSP/Features.rs:683;Source/LSP/Features.rs:687;Source/LSP/Features.rs:688;Source/LSP/Features.rs:691;Source/LSP/Features.rs:906	covered	crates/jet-devserver/src/Canvas/edit_actions.rs:2736;crates/jet-devserver/src/Canvas/edit_actions.rs:2741;crates/jet-devserver/src/Canvas/edit_actions.rs:2743;crates/jet-devserver/src/Canvas/edit_actions.rs:2895
