registry	index	id	spelling	surface	program_path	status	reason	gap_id	fix	command	evidence
Syntax::LEXICAL_LEDGER	4	syntax-registry-004-web-form-model-action-handler-bebf91ed	web.form(Model, action: handler)	canvas	scripts/agent/syntax-roundtrip-fixtures/004.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[4]	syntax-roundtrip:syntax-registry-004-web-form-model-action-handler-bebf91ed:canvas	Add a real fixture for syntax-registry-004-web-form-model-action-handler-bebf91ed and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	5	syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191	#Layout(c, align(N)) / #Layout(c, align(target, N))	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/005.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[5]	syntax-roundtrip:syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191:jet_fmt	Add a real fixture for syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	5	syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191	#Layout(c, align(N)) / #Layout(c, align(target, N))	language_server	scripts/agent/syntax-roundtrip-fixtures/005.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[5]	syntax-roundtrip:syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191:language_server	Add a real fixture for syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	5	syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191	#Layout(c, align(N)) / #Layout(c, align(target, N))	canvas	scripts/agent/syntax-roundtrip-fixtures/005.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[5]	syntax-roundtrip:syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191:canvas	Add a real fixture for syntax-registry-005-layout-c-align-n-layout-c-align-target-n-ebb2b191 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	6	syntax-registry-006-align-dffbca03	#Align	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/006.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[6]	syntax-roundtrip:syntax-registry-006-align-dffbca03:jet_fmt	Add a real fixture for syntax-registry-006-align-dffbca03 and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	6	syntax-registry-006-align-dffbca03	#Align	language_server	scripts/agent/syntax-roundtrip-fixtures/006.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[6]	syntax-roundtrip:syntax-registry-006-align-dffbca03:language_server	Add a real fixture for syntax-registry-006-align-dffbca03 and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	6	syntax-registry-006-align-dffbca03	#Align	canvas	scripts/agent/syntax-roundtrip-fixtures/006.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[6]	syntax-roundtrip:syntax-registry-006-align-dffbca03:canvas	Add a real fixture for syntax-registry-006-align-dffbca03 and exercise canvas	null	[]
Syntax::LEXICAL_LEDGER	7	syntax-registry-007-atomic-t-30a52c1a	Atomic<T>	jet_fmt	scripts/agent/syntax-roundtrip-fixtures/007.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[7]	syntax-roundtrip:syntax-registry-007-atomic-t-30a52c1a:jet_fmt	Add a real fixture for syntax-registry-007-atomic-t-30a52c1a and exercise jet_fmt	null	[]
Syntax::LEXICAL_LEDGER	7	syntax-registry-007-atomic-t-30a52c1a	Atomic<T>	language_server	scripts/agent/syntax-roundtrip-fixtures/007.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[7]	syntax-roundtrip:syntax-registry-007-atomic-t-30a52c1a:language_server	Add a real fixture for syntax-registry-007-atomic-t-30a52c1a and exercise language_server	null	[]
Syntax::LEXICAL_LEDGER	7	syntax-registry-007-atomic-t-30a52c1a	Atomic<T>	canvas	scripts/agent/syntax-roundtrip-fixtures/007.jet	uncovered	No fixture program is registered for LEXICAL_LEDGER[7]	syntax-roundtrip:syntax-registry-007-atomic-t-30a52c1a:canvas	Add a real fixture for syntax-registry-007-atomic-t-30a52c1a and exercise canvas	null	[]
